id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
232,GS칼텍스,한독주유소,서울,서초구,서울 서초구 방배로 218 (방배동),1745,1713,1,0,0,0,0,0,37.49270830000000,126.99084820000000
233,SK에너지,신반포주유소,서울,서초구,서울 서초구 사평대로 94 (반포동),1745,1713,1,1,0,0,0,1,37.49839500000000,126.99480730000000
234,SK에너지,태봉셀프주유소,서울,서초구,서울 서초구 태봉로 117 (우면동),1745,1695,1,1,0,1,0,0,37.46827570000000,127.02817700000000
235,GS칼텍스,대성산업(주)직영 강남주유소,서울,서초구,서울 서초구 반포대로 284 (반포동),1745,1685,1,0,0,0,0,0,37.50462150000000,127.00179780000000
236,현대오일뱅크,HD현대오일뱅크㈜직영 팔레스주유소,서울,서초구,서울 서초구 사평대로 136 (반포동),1746,1714,0,0,0,0,0,1,37.50013939999999,126.99918330000000
237,현대오일뱅크,HD현대오일뱅크㈜직영 사평로주유소,서울,서초구,서울 서초구 사평대로 350 (서초동),1752,1744,0,1,0,0,0,0,37.50330260000000,127.02152110000000
238,GS칼텍스,반포그린주유소,서울,서초구,서울 서초구 서초중앙로 239 (반포동),1752,1744,1,1,0,0,0,0,37.50323250000000,127.01085590000000
239,GS칼텍스,에너지플러스허브 삼방주유소,서울,서초구,서울 서초구 사평대로 364 (서초동),1752,1744,1,1,0,0,0,1,37.50371230000000,127.02309580000000
240,S-OIL,헌릉로주유소,서울,서초구,서울 서초구 헌릉로 177 (내곡동),1754,1714,1,0,0,0,0,0,37.45737050000000,127.06026320000000
241,GS칼텍스,대성산업(주)직영 터미널(고속)주유소,서울,서초구,서울 서초구 신반포로 222 (반포동),1755,1705,0,1,0,0,0,1,37.50676880000000,127.00882140000000
242,SK에너지,대신석유(주)대우주유소,서울,서초구,서울 서초구 양재대로 173 (양재동),1759,1697,1,1,0,0,1,1,37.46283090000000,127.03755760000000
243,SK에너지,양재주유소,서울,서초구,서울 서초구 바우뫼로 178,1764,1714,0,1,0,0,0,1,37.47808850000001,127.03959220000000
244,현대오일뱅크,HD현대오일뱅크㈜직영 양재현대주유소,서울,서초구,서울 서초구 마방로 6,1764,1714,0,1,0,0,0,0,37.47357210000000,127.03970390000000
245,GS칼텍스,(주)한미석유 서초주유소,서울,서초구,서울 서초구 반포대로 64 (서초동),1765,1685,1,0,0,0,0,0,37.48619559999999,127.01078250000000
246,S-OIL,극동유화(주) 전당앞주유소,서울,서초구,서울 서초구 남부순환로 2391 (서초동),1765,1685,1,1,1,1,0,0,37.48055430000000,127.01182090000000
247,S-OIL,에쓰오일(주)직영 오토테크주유소,서울,서초구,서울특별시 서초구 효령로 356 (서초동),1765,1705,1,1,0,1,0,0,37.48648080000000,127.02285910000000
248,현대오일뱅크,HD현대오일뱅크㈜직영 방배현대주유소,서울,서초구,서울 서초구 동작대로 182 (방배동),1768,1730,0,1,0,1,0,0,37.49285470000000,126.98318290000000
249,현대오일뱅크,HD현대오일뱅크㈜직영 서초제일주유소,서울,서초구,서울 서초구 사임당로 116 (서초동),1768,1736,0,1,0,0,0,0,37.49055730000000,127.02260520000000
250,GS칼텍스,지에스칼텍스(주)선천주유소,서울,서초구,서울 서초구 동작대로 206 (방배동),1769,1724,0,1,0,0,0,0,37.49494250000000,126.98320560000000
251,GS칼텍스,서초꽃마을주유소,서울,서초구,서울 서초구 반포대로 69 (서초동),1775,1695,1,0,0,0,0,0,37.48640340000000,127.00992970000000
252,GS칼텍스,대성석유(주)연일주유소,서울,서초구,서울 서초구 남부순환로 2451,1776,1699,0,1,0,0,1,0,37.48258680000000,127.01851280000000
253,GS칼텍스,말죽거리주유소,서울,서초구,서울 서초구 남부순환로 2650 (양재동),1776,1699,0,0,0,0,0,0,37.48519730000000,127.04067400000000
254,GS칼텍스,지에스칼텍스(주)남서울주유소,서울,서초구,서울 서초구 나루터로 83 (잠원동),1799,1794,0,1,0,0,1,1,37.51615670000000,127.01891450000000
255,SK에너지,방배동주유소,서울,서초구,서울 서초구 효령로 29 (방배동),1893,1796,0,1,0,0,0,0,37.47810260000000,126.98776810000000
256,SK에너지,대신석유㈜서원주유소,서울,서초구,서울 서초구 반포대로 142 (서초동),2078,1978,0,1,0,0,0,0,37.49280160000000,127.00758730000000
257,S-OIL,(주)선문에너지 중앙주유소,서울,서초구,서울특별시 서초구 바우뫼로 219 (양재1동),2168,1989,0,1,0,0,0,0,37.48155140000000,127.04223430000000
258,S-OIL,(주)서울에너지 직영,서울,성동구,서울 성동구 천호대로 324 (용답동),1659,1599,1,1,0,0,0,1,37.56426070000001,127.05568500000000
259,자가상표,정호주유소,서울,성동구,서울 성동구 고산자로 307 (마장동),1678,1628,0,0,0,0,0,0,37.56695520000000,127.03643320000000
260,현대오일뱅크,KLP제2주유소,서울,성동구,서울 성동구 동일로 249 (송정동),1694,1649,1,0,0,0,0,0,37.55399750000000,127.07038980000000
261,S-OIL,아이콘주유소,서울,성동구,서울 성동구 고산자로 273 (도선동),1708,1648,1,1,0,0,0,1,37.56338320000000,127.03293880000000
262,현대오일뱅크,HD현대오일뱅크㈜직영 성동셀프주유소,서울,성동구,서울 성동구 마장로 311 (마장동),1715,1615,1,1,0,0,0,0,37.56701440000000,127.04372720000000
263,GS칼텍스,지에스칼텍스㈜ 도루코주유소,서울,성동구,서울 성동구 아차산로 180,1736,1674,1,1,0,1,0,1,37.54205250000000,127.06343010000000
264,SK에너지,SK에너지(주) 군자동주유소,서울,성동구,서울 성동구 천호대로 446 (용답동),1749,1659,0,1,0,0,0,1,37.56055500000001,127.06834330000000
265,SK에너지,삼우주유소,서울,성동구,서울 성동구 천호대로 392,1799,1799,0,1,0,0,0,0,37.56143030000000,127.06232720000000
266,SK에너지,SK KH에너지 성수만세주유소,서울,성동구,서울 성동구 왕십리로 109,1868,1818,1,1,0,0,1,0,37.54753460000000,127.04425570000000
267,SK에너지,SK에너지(주) 성수주유소,서울,성동구,서울 성동구 뚝섬로 352 (성수동1가),1868,1818,0,1,0,0,0,0,37.53996340000000,127.04993800000000
268,SK에너지,SK세원2주유소,서울,성동구,서울 성동구 광나루로 184 (성수동1가),1878,1825,0,1,0,1,0,0,37.55090950000000,127.05050020000000
269,GS칼텍스,금호주유소,서울,성동구,서울 성동구 금호로 39 (금호동4가),2034,1947,0,0,0,0,0,0,37.54708660000000,127.02505710000000
270,현대오일뱅크,동일주유소,서울,성동구,서울 성동구 광나루로 254 (성수동2가),2073,1998,0,1,0,0,0,0,37.54845400000000,127.05784680000000
271,SK에너지,청계로주유소,서울,성동구,서울 성동구 청계천로 454 (하왕십리동),2195,2165,0,1,0,0,0,0,37.57009730000000,127.02740440000000
272,GS칼텍스,(주)옥수하이웨이스테이션,서울,성동구,서울 성동구 독서당로 168 (옥수동),2298,2241,0,0,0,0,0,0,37.54102370000000,127.01136820000000
273,알뜰주유소,원천주유소,서울,성북구,서울 성북구 돌곶이로 142 (장위동),1643,1573,0,0,0,0,0,0,37.61489500000000,127.05273170000000
274,현대오일뱅크,장삼 쌍둥이 주유소,서울,성북구,서울 성북구 한천로 612 (장위동),1645,1575,1,1,0,0,0,0,37.61360430000000,127.06029930000000
275,GS칼텍스,(주)삼표에너지 정릉주유소,서울,성북구,서울 성북구 보국문로 35 (정릉동),1645,1575,1,1,0,1,0,0,37.60764260000000,127.00994870000000
